year,0
1985,309.6652301241952
1986,310.3202043645262
1987,319.2884990484997
1988,356.06643929381534
1989,342.46295589909624
1990,297.2733144706971
1991,366.76022695068315
1992,380.10701416621174
1993,377.4457166423889
1994,375.21289433441285
1995,397.6893881287055
1996,359.56551255146866
1997,388.63825703320737
1998,402.7048141371477
1999,402.92448143856996
2000,361.3958495461908
2001,409.08985663967957
2002,404.6312850765866
2003,427.89167557668793
2004,418.0564733439319
2005,388.5917277106127
2006,344.63187271066886
2007,343.41392193574274
2008,369.69108326978727
2009,368.03317417998727
2010,358.85082626491123
2011,374.26594895378116
2012,377.2305842099521
2013,382.4802285749177
2014,378.40590461081126
2015,364.0135730337847
2016,374.33422115050524
2017,387.81587869681994
2018,379.1486694267757
2019,379.7226441954829
2020,380.32020099834057
2021,402.94382435816476
2022,414.8222538677658
2023,404.45357356968736
