,year,Race_url,stage,stage_url,stage_type,profile_icon,stage_winner,stage_winner_url,stage_winner_time,stage_distance,stage_vertical_meters,gc_leader,gc_leader_url,gc_stage_time
111,1989,race/tour-de-france/1989,Villard-de-Lans (Côte 2000),https://www.procyclingstats.com/race/tour-de-france/1989/stage-18,RR,p5,{'rider_name': 'FIGNON Laurent'},{'rider_url': 'rider/laurent-fignon'},{'time': '2:31:28'},91.5,2560.0,{'rider_name': 'FIGNON Laurent'},{'rider_url': 'rider/laurent-fignon'},2:31:28
112,1989,race/tour-de-france/1989,Aix les Bains,https://www.procyclingstats.com/race/tour-de-france/1989/stage-19,RR,p4,{'rider_name': 'LEMOND Greg'},{'rider_url': 'rider/greg-lemond'},{'time': '3:17:53'},125.0,3445.0,{'rider_name': 'FIGNON Laurent'},{'rider_url': 'rider/laurent-fignon'},3:17:53
113,1989,race/tour-de-france/1989,l'Isle d'Abeau,https://www.procyclingstats.com/race/tour-de-france/1989/stage-20,RR,p1,{'rider_name': 'FIDANZA Giovanni'},{'rider_url': 'rider/giovanni-fidanza'},{'time': '3:26:16'},130.0,1286.0,{'rider_name': 'FIGNON Laurent'},{'rider_url': 'rider/laurent-fignon'},3:26:16
114,1989,race/tour-de-france/1989,Paris,https://www.procyclingstats.com/race/tour-de-france/1989/stage-21,ITT,p1,{'rider_name': 'LEMOND Greg'},{'rider_url': 'rider/greg-lemond'},{'time': '0:26:57'},24.5,200.0,{'rider_name': 'LEMOND Greg'},{'rider_url': 'rider/greg-lemond'},0:26:57
115,1990,race/tour-de-france/1990,Futuroscope,https://www.procyclingstats.com/race/tour-de-france/1990/prologue,RR,p1,{'rider_name': 'MARIE Thierry'},{'rider_url': 'rider/thierry-marie'},{'time': '0:07:49'},6.3,184.0,{'rider_name': 'MARIE Thierry'},{'rider_url': 'rider/thierry-marie'},0:07:49
116,1990,race/tour-de-france/1990,Futuroscope,https://www.procyclingstats.com/race/tour-de-france/1990/stage-1,RR,p1,{'rider_name': 'MAASSEN Frans'},{'rider_url': 'rider/frans-maassen'},{'time': '3:19:01'},138.5,1232.0,{'rider_name': 'BAUER Steve'},{'rider_url': 'rider/steve-bauer'},3:19:01
117,1990,race/tour-de-france/1990,Nantes,https://www.procyclingstats.com/race/tour-de-france/1990/stage-3,RR,p1,{'rider_name': 'ARGENTIN Moreno'},{'rider_url': 'rider/moreno-argentin'},{'time': '5:46:13'},233.0,1874.0,{'rider_name': 'BAUER Steve'},{'rider_url': 'rider/steve-bauer'},5:48:42
118,1990,race/tour-de-france/1990,Mont-Saint-Michel,https://www.procyclingstats.com/race/tour-de-france/1990/stage-4,RR,p1,{'rider_name': 'MUSEEUW Johan'},{'rider_url': 'rider/johan-museeuw'},{'time': '5:23:33'},203.0,1952.0,{'rider_name': 'BAUER Steve'},{'rider_url': 'rider/steve-bauer'},5:23:33
119,1990,race/tour-de-france/1990,Rouen,https://www.procyclingstats.com/race/tour-de-france/1990/stage-5,RR,p1,{'rider_name': 'SOLLEVELD Gerrit'},{'rider_url': 'rider/gerrit-solleveld'},{'time': '7:43:07'},301.0,3365.0,{'rider_name': 'BAUER Steve'},{'rider_url': 'rider/steve-bauer'},7:47:37
120,1990,race/tour-de-france/1990,Vittel,https://www.procyclingstats.com/race/tour-de-france/1990/stage-6,RR,p1,{'rider_name': 'NIJDAM Jelle'},{'rider_url': 'rider/jelle-nijdam'},{'time': '5:23:56'},202.5,2082.0,{'rider_name': 'BAUER Steve'},{'rider_url': 'rider/steve-bauer'},5:24:04
