,stage_distance,stage_grade,profile_icon,Campenaerts_velocities,Campenaerts_NP,JOHANNESSEN_velocities,JOHANNESSEN_NP,Lafay_velocities,Lafay_NP,Bernal_velocities,Bernal_NP,Kwiatkowski_velocities,Kwiatkowski_NP
805,182.0,0.0176978021978021,p3,11.300838248990997,306,11.517529426654853,292,11.532855966035106,308,11.517529426654853,267,11.2401185770751,286
806,208.9,0.0141168022977501,p2,12.044511070110701,312,12.044511070110701,284,12.14605500319786,308,12.14605500319786,265,11.808264089084846,283
807,193.5,0.0137829457364341,p2,11.385701676963812,253,11.32439866565225,242,11.385701676963812,275,11.385701676963812,228,11.32439866565225,250
808,181.8,0.0078492849284928,p1,11.41386238071321,230,11.41386238071321,205,11.41386238071321,218,11.41386238071321,200,11.41386238071321,229
809,162.7,0.0224462200368776,p4,10.660463897261172,353,10.676553579631209,303,10.254632547586032,306,11.276684225117826,284,10.676553579631209,302
810,144.9,0.0268737060041407,p5,9.061913696060037,277,10.241006431549932,322,9.103474272790098,258,9.887410440122824,284,10.14634829493733,317
811,169.9,0.0047557386698057,p1,12.335729325491904,244,12.358161187081757,209,12.335729325491904,249,12.335729325491904,215,12.503679717397704,248
812,200.7,0.0099451918285999,p2,13.251023372507593,305,12.925038639876352,257,13.196133868104411,306,12.813637234246313,258,12.813637234246313,280
813,182.4,0.0188651315789473,p5,11.467370803470388,319,10.588030417368085,271,10.477339307254868,271,10.925426774483379,257,10.558610709117222,228
814,167.2,0.0188456937799043,p2,11.579749290117045,339,11.835492319671552,310,11.020300553651463,315,11.815419404989047,273,11.959087332808812,313
815,179.3,0.0104461795872838,p2,12.387729722260605,252,12.363811888015446,241,12.28418744861606,273,12.28418744861606,257,12.387729722260605,260
816,168.8,0.0184834123222748,p2,11.98523146833286,327,0.0,0,11.48065020744066,337,11.92427239333145,282,11.133095897638833,280
817,137.8,0.017510885341074,p5,10.633536538313141,237,10.394508561514671,259,10.394508561514671,290,10.835888967523788,270,11.625748755589303,315
818,151.8,0.0282015810276679,p4,0.0,0,9.323751612308826,289,9.158923615301074,303,9.775259192478588,282,9.323751612308826,294
819,179.0,0.0250446927374301,p5,0.0,0,9.665226781857452,288,0.0,0,9.538527123521261,263,9.46138802262276,270
820,22.4,0.0283928571428571,p5,8.763693270735525,315,9.72644376899696,330,0.0,0,9.267687215556474,298,9.51976200594985,339
821,165.7,0.0325829812914906,p4,8.415011934386268,287,9.464785514365682,315,8.479606980195486,302,8.444602996636428,252,9.328904402657358,320
822,184.9,0.0065765278528934,p1,0.0,0,12.44447435724862,231,12.046387386800443,253,12.379485806106052,210,12.486493787142086,235
823,172.8,0.0111921296296296,p2,0.0,0,12.643594058681495,272,12.643594058681495,303,12.814238042269189,264,12.814238042269189,289
824,133.5,0.026,p4,0.0,0,10.69026265214606,334,0.0,0,9.976832822658993,299,9.567149204529168,313
825,115.1,0.00501303214596,p1,10.886219616003027,268,10.886219616003027,251,0.0,0,10.886219616003027,217,10.886219616003027,250
