,Stage_id,year,stage_type,profile_icon,Name,stage_distance,stage_grade,velocity,Power_Avg,Power_NP,weight
818,818,2023,RR,p4,LAFAY Victor,151.8,0.0282015810276679,9.158923615301074,265,303,65.0
821,821,2023,RR,p4,LAFAY Victor,165.7,0.0325829812914906,8.479606980195486,261,302,65.0
822,822,2023,RR,p1,LAFAY Victor,184.9,0.0065765278528934,12.046387386800443,206,253,65.0
823,823,2023,RR,p2,LAFAY Victor,172.8,0.0111921296296296,12.643594058681495,258,303,65.0
805,805,2023,RR,p3,BERNAL Egan,182.0,0.0176978021978021,11.517529426654853,219,267,60.0
806,806,2023,RR,p2,BERNAL Egan,208.9,0.0141168022977501,12.14605500319786,211,265,60.0
807,807,2023,RR,p2,BERNAL Egan,193.5,0.0137829457364341,11.385701676963812,180,228,60.0
808,808,2023,RR,p1,BERNAL Egan,181.8,0.0078492849284928,11.41386238071321,138,200,60.0
809,809,2023,RR,p4,BERNAL Egan,162.7,0.0224462200368776,11.276684225117826,243,284,60.0
810,810,2023,RR,p5,BERNAL Egan,144.9,0.0268737060041407,9.887410440122824,242,284,60.0
811,811,2023,RR,p1,BERNAL Egan,169.9,0.0047557386698057,12.335729325491904,160,215,60.0
812,812,2023,RR,p2,BERNAL Egan,200.7,0.0099451918285999,12.813637234246313,206,258,60.0
813,813,2023,RR,p5,BERNAL Egan,182.4,0.0188651315789473,10.925426774483379,211,257,60.0
814,814,2023,RR,p2,BERNAL Egan,167.2,0.0188456937799043,11.815419404989047,220,273,60.0
815,815,2023,RR,p2,BERNAL Egan,179.3,0.0104461795872838,12.28418744861606,206,257,60.0
816,816,2023,RR,p2,BERNAL Egan,168.8,0.0184834123222748,11.92427239333145,231,282,60.0
817,817,2023,RR,p5,BERNAL Egan,137.8,0.017510885341074,10.835888967523788,241,270,60.0
818,818,2023,RR,p4,BERNAL Egan,151.8,0.0282015810276679,9.775259192478588,233,282,60.0
819,819,2023,RR,p5,BERNAL Egan,179.0,0.0250446927374301,9.538527123521261,210,263,60.0
820,820,2023,ITT,p5,BERNAL Egan,22.4,0.0283928571428571,9.267687215556474,291,298,60.0
821,821,2023,RR,p4,BERNAL Egan,165.7,0.0325829812914906,8.444602996636428,145,252,60.0
822,822,2023,RR,p1,BERNAL Egan,184.9,0.0065765278528934,12.379485806106052,167,210,60.0
823,823,2023,RR,p2,BERNAL Egan,172.8,0.0111921296296296,12.814238042269189,208,264,60.0
824,824,2023,RR,p4,BERNAL Egan,133.5,0.026,9.976832822658993,260,299,60.0
825,825,2023,RR,p1,BERNAL Egan,115.1,0.00501303214596,10.886219616003027,144,217,60.0
805,805,2023,RR,p3,KWIATKOWSKI Michał,182.0,0.0176978021978021,11.2401185770751,226,286,68.0
806,806,2023,RR,p2,KWIATKOWSKI Michał,208.9,0.0141168022977501,11.808264089084846,212,283,68.0
807,807,2023,RR,p2,KWIATKOWSKI Michał,193.5,0.0137829457364341,11.32439866565225,189,250,68.0
808,808,2023,RR,p1,KWIATKOWSKI Michał,181.8,0.0078492849284928,11.41386238071321,161,229,68.0
809,809,2023,RR,p4,KWIATKOWSKI Michał,162.7,0.0224462200368776,10.676553579631209,240,302,68.0
810,810,2023,RR,p5,KWIATKOWSKI Michał,144.9,0.0268737060041407,10.14634829493733,268,317,68.0
811,811,2023,RR,p1,KWIATKOWSKI Michał,169.9,0.0047557386698057,12.503679717397704,193,248,68.0
812,812,2023,RR,p2,KWIATKOWSKI Michał,200.7,0.0099451918285999,12.813637234246313,227,280,68.0
813,813,2023,RR,p5,KWIATKOWSKI Michał,182.4,0.0188651315789473,10.558610709117222,278,228,68.0
814,814,2023,RR,p2,KWIATKOWSKI Michał,167.2,0.0188456937799043,11.959087332808812,256,313,68.0
815,815,2023,RR,p2,KWIATKOWSKI Michał,179.3,0.0104461795872838,12.387729722260605,197,260,68.0
816,816,2023,RR,p2,KWIATKOWSKI Michał,168.8,0.0184834123222748,11.133095897638833,215,280,68.0
817,817,2023,RR,p5,KWIATKOWSKI Michał,137.8,0.017510885341074,11.625748755589303,270,315,68.0
818,818,2023,RR,p4,KWIATKOWSKI Michał,151.8,0.0282015810276679,9.323751612308826,240,294,68.0
819,819,2023,RR,p5,KWIATKOWSKI Michał,179.0,0.0250446927374301,9.46138802262276,216,270,68.0
820,820,2023,ITT,p5,KWIATKOWSKI Michał,22.4,0.0283928571428571,9.51976200594985,320,339,68.0
821,821,2023,RR,p4,KWIATKOWSKI Michał,165.7,0.0325829812914906,9.328904402657358,272,320,68.0
822,822,2023,RR,p1,KWIATKOWSKI Michał,184.9,0.0065765278528934,12.486493787142086,176,235,68.0
823,823,2023,RR,p2,KWIATKOWSKI Michał,172.8,0.0111921296296296,12.814238042269189,216,289,68.0
824,824,2023,RR,p4,KWIATKOWSKI Michał,133.5,0.026,9.567149204529168,267,313,68.0
825,825,2023,RR,p1,KWIATKOWSKI Michał,115.1,0.00501303214596,10.886219616003027,151,250,68.0
